"행정구역(시군구)별",2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51826059,25866129,25959930,51849861,25864816,25985045,51829023,25841029,25987994,51638809,25746684,25892125,51439038,25636951,25802087
"서울특별시",9765623,4773899,4991724,9729107,4744059,4985048,9668465,4701723,4966742,9509458,4618040,4891418,9428372,4570048,4858324
"부산광역시",3441453,1692421,1749032,3413841,1675417,1738424,3391946,1661000,1730946,3350380,1639044,1711336,3317812,1619915,1697897
"대구광역시",2461769,1219342,1242427,2438031,1205286,1232745,2418346,1193109,1225237,2385412,1175632,1209780,2363691,1162865,1200826
"인천광역시",2954642,1481844,1472798,2957026,1482249,1474777,2942828,1473943,1468885,2948375,1476373,1472002,2967314,1485175,1482139
"광주광역시",1459336,722581,736755,1456468,720740,735728,1450062,717348,732714,1441611,713015,728596,1431050,707299,723751
"대전광역시",1489936,744338,745598,1474870,736607,738263,1463882,730699,733183,1452251,724626,727625,1446072,721245,724827
"울산광역시",1155623,593819,561804,1148019,589712,558307,1136017,583708,552309,1121592,576217,545375,1110663,570368,540295
"세종특별자치시",314126,156831,157295,340575,169845,170730,355831,177568,178263,371895,185678,186217,383591,191389,192202
"경기도",13077153,6577501,6499652,13239666,6659995,6579671,13427014,6754469,6672545,13565450,6827298,6738152,13589432,6839276,6750156
"강원도",1543052,776456,766596,1541502,775386,766116,1542840,776505,766335,1538492,774332,764160,1536498,772947,763551
"충청북도",1599252,808971,790281,1600007,810384,789623,1600837,811591,789246,1597427,810672,786755,1595058,810782,784276
"충청남도",2126282,1082009,1044273,2123709,1081938,1041771,2121029,1082634,1038395,2119257,1083366,1035891,2123037,1086632,1036405
"전라북도",1836832,913297,923535,1818917,904110,914807,1804104,896874,907230,1786855,888994,897861,1769607,880592,889015
"전라남도",1882970,943000,939970,1868745,937674,931071,1851549,930615,920934,1832803,922221,910582,1817697,915272,902425
"경상북도",2676831,1346689,1330142,2665836,1342037,1323799,2639422,1329211,1310211,2626609,1323661,1302948,2600492,1311881,1288611
"경상남도",3373988,1697412,1676576,3362553,1692032,1670521,3340216,1681423,1658793,3314183,1668338,1645845,3280493,1651675,1628818
"제주특별자치도",667191,335719,331472,670989,337345,333644,674635,338609,336026,676759,339177,337582,678159,339590,338569
